date,daily_arrivals_est
2020-07-15,1323.0
2020-07-16,1402.0
2020-07-17,1524.0
2020-07-18,1564.0
2020-07-19,1470.0
2020-07-20,1610.0
2020-07-21,1633.0
2020-07-22,1777.0
2020-07-23,1939.0
2020-07-24,1941.0
2020-07-25,2032.0
2020-07-26,1747.0
2020-07-27,2005.0
2020-07-28,2059.0
2020-07-29,1980.0
2020-07-30,2072.0
2020-07-31,2067.0
2020-08-01,2033.0
2020-08-02,1988.0
2020-08-03,2031.0
2020-08-04,2008.0
2020-08-05,1998.0
2020-08-06,1975.0
2020-08-07,1950.0
2020-08-08,1903.0
2020-08-09,1870.0
2020-08-10,1871.0
2020-08-11,1856.0
2020-08-12,1828.0
2020-08-13,1789.0
2020-08-14,1776.0
2020-08-15,1741.0
2020-08-16,1702.0
2020-08-17,1699.0
2020-08-18,1701.0
2020-08-19,1646.0
2020-08-20,1599.0
2020-08-21,1563.0
2020-08-22,1533.0
2020-08-23,1527.0
2020-08-24,1520.0
2020-08-25,1508.0
2020-08-26,1477.0
2020-08-27,1408.0
2020-08-28,1403.0
2020-08-29,1378.0
2020-08-30,1360.0
2020-08-31,1353.0
2020-09-01,1350.0
2020-09-02,1334.0
2020-09-03,1316.0
2020-09-04,1315.0
2020-09-05,1295.0
2020-09-06,1282.0
2020-09-07,1276.0
2020-09-08,1276.0
2020-09-09,1249.0
2020-09-10,1222.0
2020-09-11,1214.0
2020-09-12,1182.0
2020-09-13,1175.0
2020-09-14,1176.0
2020-09-15,1161.0
2020-09-16,1149.0
2020-09-17,1142.0
2020-09-18,1135.0
2020-09-19,1111.0
2020-09-20,1112.0
2020-09-21,1115.0
2020-09-22,1121.0
2020-09-23,1122.0
2020-09-24,1117.0
2020-09-25,1115.0
2020-09-26,1112.0
2020-09-27,1151.0
2020-09-28,1129.0
2020-09-29,1147.0
2020-09-30,1150.0
2020-10-01,1141.0
2020-10-02,1135.0
2020-10-03,1135.0
2020-10-04,1157.0
2020-10-05,1188.0
2020-10-06,1222.0
2020-10-07,1232.0
2020-10-08,1230.0
2020-10-09,1244.0
2020-10-10,1245.0
2020-10-11,1258.0
2020-10-12,1290.0
2020-10-13,1342.0
2020-10-14,1325.0
2020-10-15,1352.0
2020-10-16,1360.0
2020-10-17,1357.0
2020-10-18,1387.0
2020-10-19,1437.0
2020-10-20,1457.0
2020-10-21,1491.0
2020-10-22,1519.0
2020-10-23,1528.0
2020-10-24,1528.0
2020-10-25,1548.0
2020-10-26,1585.0
2020-10-27,1631.0
2020-10-28,1650.0
2020-10-29,1677.0
2020-10-30,1691.0
2020-10-31,1699.0
2020-11-01,1731.0
2020-11-02,1798.0
2020-11-03,1845.0
2020-11-04,1857.0
2020-11-05,1889.0
2020-11-06,1906.0
2020-11-07,1924.0
2020-11-08,2000.0
2020-11-09,2056.0
2020-11-10,2118.0
2020-11-11,2157.0
2020-11-12,2226.0
2020-11-13,2263.0
2020-11-14,2318.0
2020-11-15,2400.0
2020-11-16,2504.0
2020-11-17,2582.0
2020-11-18,2617.0
2020-11-19,2675.0
2020-11-20,2700.0
2020-11-21,2726.0
2020-11-22,2806.0
2020-11-23,2880.0
2020-11-24,2937.0
2020-11-25,2974.0
2020-11-26,3003.0
2020-11-27,3046.0
2020-11-28,3068.0
2020-11-29,3131.0
2020-11-30,3213.0
2020-12-01,3266.0
2020-12-02,3282.0
2020-12-03,3293.0
2020-12-04,3304.0
2020-12-05,3311.0
2020-12-06,3349.0
2020-12-07,3415.0
2020-12-08,3466.0
2020-12-09,3516.0
2020-12-10,3520.0
2020-12-11,3536.0
2020-12-12,3521.0
2020-12-13,3585.0
2020-12-14,3655.0
2020-12-15,3689.0
2020-12-16,3711.0
2020-12-17,3700.0
2020-12-18,3709.0
2020-12-19,3688.0
2020-12-20,3725.0
2020-12-21,3778.0
2020-12-22,3822.0
2020-12-23,3850.0
2020-12-24,3817.0
2020-12-25,3796.0
2020-12-26,3819.0
2020-12-27,3871.0
2020-12-28,3931.0
2020-12-29,3969.0
2020-12-30,3958.0
2020-12-31,3958.0
2021-01-01,3918.0
2021-01-02,3940.0
2021-01-03,4003.0
2021-01-04,4041.0
2021-01-05,4078.0
2021-01-06,4091.0
2021-01-07,4067.0
2021-01-08,4055.0
2021-01-09,4027.0
2021-01-10,4055.0
2021-01-11,4107.0
2021-01-12,4124.0
2021-01-13,4106.0
2021-01-14,4077.0
2021-01-15,4290.0
2021-01-16,4016.0
2021-01-17,3984.0
2021-01-18,3978.0
2021-01-19,3940.0
2021-01-20,3855.0
2021-01-21,3785.0
2021-01-22,3714.0
2021-01-23,3622.0
2021-01-24,3588.0
2021-01-25,3570.0
2021-01-26,3554.0
2021-01-27,3478.0
2021-01-28,3396.0
2021-01-29,3311.0
2021-01-30,3241.0
2021-01-31,3211.0
2021-02-01,3176.0
2021-02-02,3107.0
2021-02-03,3057.0
2021-02-04,2980.0
2021-02-05,2906.0
2021-02-06,2837.0
2021-02-07,2767.0
2021-02-08,2761.0
2021-02-09,2705.0
2021-02-10,2616.0
2021-02-11,2531.0
2021-02-12,2477.0
2021-02-13,2409.0
2021-02-14,2337.0
2021-02-15,2318.0
2021-02-16,2274.0
2021-02-17,2224.0
2021-02-18,2145.0
2021-02-19,2069.0
2021-02-20,2014.0
2021-02-21,1959.0
2021-02-22,1950.0
2021-02-23,1905.0
2021-02-24,1840.0
2021-02-25,1778.0
2021-02-26,1736.0
2021-02-27,1673.0
2021-02-28,1650.0
2021-03-01,1622.0
2021-03-02,1576.0
2021-03-03,1535.0
2021-03-04,1506.0
2021-03-05,1472.0
2021-03-06,1430.0
2021-03-07,1404.0
2021-03-08,1397.0
2021-03-09,1372.0
2021-03-10,1349.0
2021-03-11,1319.0
2021-03-12,1302.0
2021-03-13,1270.0
2021-03-14,1251.0
2021-03-15,1254.0
2021-03-16,1246.0
2021-03-17,1240.0
2021-03-18,1216.0
2021-03-19,1202.0
2021-03-20,1176.0
2021-03-21,1159.0
2021-03-22,1192.0
2021-03-23,1196.0
2021-03-24,1213.0
2021-03-25,1191.0
2021-03-26,1190.0
2021-03-27,1172.0
2021-03-28,1195.0
2021-03-29,1209.0
2021-03-30,1225.0
2021-03-31,1215.0
2021-04-01,1212.0
2021-04-02,1210.0
2021-04-03,1219.0
2021-04-04,1229.0
2021-04-05,1269.0
2021-04-06,1287.0
2021-04-07,1290.0
2021-04-08,1313.0
2021-04-09,1306.0
2021-04-10,1306.0
2021-04-11,1320.0
2021-04-12,1351.0
2021-04-13,1364.0
2021-04-14,1369.0
2021-04-15,1354.0
2021-04-16,1362.0
2021-04-17,1366.0
2021-04-18,1378.0
2021-04-19,1405.0
2021-04-20,1418.0
2021-04-21,1418.0
2021-04-22,1407.0
2021-04-23,1387.0
2021-04-24,1369.0
2021-04-25,1364.0
2021-04-26,1394.0
2021-04-27,1383.0
2021-04-28,1363.0
2021-04-29,1331.0
2021-04-30,1318.0
